Treatment,Obs,Time,Status,Cum_Survival,Std_Error,Cum_Events,Remaining_Cases
CONCON,1,5.0,1,,,1,89
CONCON,2,5.0,1,,,2,88
CONCON,3,5.0,1,,,3,87
CONCON,4,5.0,1,,,4,86
CONCON,5,5.0,1,,,5,85
CONCON,6,5.0,1,0.933,0.026,6,84
CONCON,7,12.0,1,,,7,83
CONCON,8,12.0,1,0.911,0.03,8,82
CONCON,9,22.0,1,,,9,81
CONCON,10,22.0,1,,,10,80
CONCON,11,22.0,1,,,11,79
CONCON,12,22.0,1,0.867,0.036,12,78
CONCON,13,22.0,0,,,12,77
CONCON,14,22.0,0,,,12,76
CONCON,15,22.0,0,,,12,75
CONCON,16,22.0,0,,,12,74
CONCON,17,22.0,0,,,12,73
CONCON,18,22.0,0,,,12,72
CONCON,19,22.0,0,,,12,71
CONCON,20,22.0,0,,,12,70
CONCON,21,22.0,0,,,12,69
CONCON,22,22.0,0,,,12,68
CONCON,23,22.0,0,,,12,67
CONCON,24,22.0,0,,,12,66
CONCON,25,22.0,0,,,12,65
CONCON,26,22.0,0,,,12,64
CONCON,27,22.0,0,,,12,63
CONCON,28,22.0,0,,,12,62
CONCON,29,22.0,0,,,12,61
CONCON,30,22.0,0,,,12,60
CONCON,31,22.0,0,,,12,59
CONCON,32,22.0,0,,,12,58
CONCON,33,22.0,0,,,12,57
CONCON,34,22.0,0,,,12,56
CONCON,35,22.0,0,,,12,55
CONCON,36,22.0,0,,,12,54
CONCON,37,22.0,0,,,12,53
CONCON,38,22.0,0,,,12,52
CONCON,39,22.0,0,,,12,51
CONCON,40,22.0,0,,,12,50
CONCON,41,22.0,0,,,12,49
CONCON,42,22.0,0,,,12,48
CONCON,43,22.0,0,,,12,47
CONCON,44,22.0,0,,,12,46
CONCON,45,22.0,0,,,12,45
CONCON,46,22.0,0,,,12,44
CONCON,47,22.0,0,,,12,43
CONCON,48,22.0,0,,,12,42
CONCON,49,22.0,0,,,12,41
CONCON,50,22.0,0,,,12,40
CONCON,51,22.0,0,,,12,39
CONCON,52,22.0,0,,,12,38
CONCON,53,22.0,0,,,12,37
CONCON,54,22.0,0,,,12,36
CONCON,55,22.0,0,,,12,35
CONCON,56,22.0,0,,,12,34
CONCON,57,22.0,0,,,12,33
CONCON,58,22.0,0,,,12,32
CONCON,59,22.0,0,,,12,31
CONCON,60,22.0,0,,,12,30
CONCON,61,22.0,0,,,12,29
CONCON,62,22.0,0,,,12,28
CONCON,63,22.0,0,,,12,27
CONCON,64,22.0,0,,,12,26
CONCON,65,22.0,0,,,12,25
CONCON,66,22.0,0,,,12,24
CONCON,67,22.0,0,,,12,23
CONCON,68,22.0,0,,,12,22
CONCON,69,22.0,0,,,12,21
CONCON,70,22.0,0,,,12,20
CONCON,71,22.0,0,,,12,19
CONCON,72,22.0,0,,,12,18
CONCON,73,22.0,0,,,12,17
CONCON,74,22.0,0,,,12,16
CONCON,75,22.0,0,,,12,15
CONCON,76,22.0,0,,,12,14
CONCON,77,22.0,0,,,12,13
CONCON,78,22.0,0,,,12,12
CONCON,79,22.0,0,,,12,11
CONCON,80,22.0,0,,,12,10
CONCON,81,22.0,0,,,12,9
CONCON,82,22.0,0,,,12,8
CONCON,83,22.0,0,,,12,7
CONCON,84,22.0,0,,,12,6
CONCON,85,22.0,0,,,12,5
CONCON,86,22.0,0,,,12,4
CONCON,87,22.0,0,,,12,3
CONCON,88,22.0,0,,,12,2
CONCON,89,22.0,0,,,12,1
CONCON,90,22.0,0,,,12,0
STRCON,1,5.0,1,,,1,89
STRCON,2,5.0,1,,,2,88
STRCON,3,5.0,1,,,3,87
STRCON,4,5.0,1,,,4,86
STRCON,5,5.0,1,,,5,85
STRCON,6,5.0,1,0.933,0.026,6,84
STRCON,7,12.0,1,,,7,83
STRCON,8,12.0,1,,,8,82
STRCON,9,12.0,1,,,9,81
STRCON,10,12.0,1,,,10,80
STRCON,11,12.0,1,,,11,79
STRCON,12,12.0,1,,,12,78
STRCON,13,12.0,1,,,13,77
STRCON,14,12.0,1,0.844,0.038,14,76
STRCON,15,15.0,1,,,15,75
STRCON,16,15.0,1,,,16,74
STRCON,17,15.0,1,,,17,73
STRCON,18,15.0,1,,,18,72
STRCON,19,15.0,1,0.789,0.043,19,71
STRCON,20,22.0,0,,,19,70
STRCON,21,22.0,0,,,19,69
STRCON,22,22.0,0,,,19,68
STRCON,23,22.0,0,,,19,67
STRCON,24,22.0,0,,,19,66
STRCON,25,22.0,0,,,19,65
STRCON,26,22.0,0,,,19,64
STRCON,27,22.0,0,,,19,63
STRCON,28,22.0,0,,,19,62
STRCON,29,22.0,0,,,19,61
STRCON,30,22.0,0,,,19,60
STRCON,31,22.0,0,,,19,59
STRCON,32,22.0,0,,,19,58
STRCON,33,22.0,0,,,19,57
STRCON,34,22.0,0,,,19,56
STRCON,35,22.0,0,,,19,55
STRCON,36,22.0,0,,,19,54
STRCON,37,22.0,0,,,19,53
STRCON,38,22.0,0,,,19,52
STRCON,39,22.0,0,,,19,51
STRCON,40,22.0,0,,,19,50
STRCON,41,22.0,0,,,19,49
STRCON,42,22.0,0,,,19,48
STRCON,43,22.0,0,,,19,47
STRCON,44,22.0,0,,,19,46
STRCON,45,22.0,0,,,19,45
STRCON,46,22.0,0,,,19,44
STRCON,47,22.0,0,,,19,43
STRCON,48,22.0,0,,,19,42
STRCON,49,22.0,0,,,19,41
STRCON,50,22.0,0,,,19,40
STRCON,51,22.0,0,,,19,39
STRCON,52,22.0,0,,,19,38
STRCON,53,22.0,0,,,19,37
STRCON,54,22.0,0,,,19,36
STRCON,55,22.0,0,,,19,35
STRCON,56,22.0,0,,,19,34
STRCON,57,22.0,0,,,19,33
STRCON,58,22.0,0,,,19,32
