"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111099737","GO:0030091","protein repair",3,1,0.01,0.0135,"Biological Processes",0.333333333333333
"2","LOC111106022","GO:0007162","negative regulation of cell adhesion",15,2,0.07,0.002,"Biological Processes",0.133333333333333
"3","LOC111106022","GO:0008360","regulation of cell shape",19,2,0.09,0.0033,"Biological Processes",0.105263157894737
"4","LOC111106022","GO:0030334","regulation of cell migration",37,3,0.17,0.0069,"Biological Processes",0.0810810810810811
"5","LOC111106022","GO:0050772","positive regulation of axonogenesis",16,2,0.07,0.0023,"Biological Processes",0.125
"6","LOC111106022","GO:1902287","semaphorin-plexin signaling pathway involved in axon guidance",15,2,0.07,0.002,"Biological Processes",0.133333333333333
"7","LOC111108148","GO:0006428","isoleucyl-tRNA aminoacylation",4,1,0.02,0.018,"Biological Processes",0.25
"8","LOC111108439","GO:0007162","negative regulation of cell adhesion",15,2,0.07,0.002,"Biological Processes",0.133333333333333
"9","LOC111108439","GO:0008045","motor neuron axon guidance",5,1,0.02,0.0224,"Biological Processes",0.2
"10","LOC111108439","GO:0008360","regulation of cell shape",19,2,0.09,0.0033,"Biological Processes",0.105263157894737
"11","LOC111108439","GO:0030334","regulation of cell migration",37,3,0.17,0.0069,"Biological Processes",0.0810810810810811
"12","LOC111108439","GO:0050772","positive regulation of axonogenesis",16,2,0.07,0.0023,"Biological Processes",0.125
"13","LOC111108439","GO:0097374","sensory neuron axon guidance",1,1,0,0.0045,"Biological Processes",1
"14","LOC111108439","GO:1902287","semaphorin-plexin signaling pathway involved in axon guidance",15,2,0.07,0.002,"Biological Processes",0.133333333333333
"15","LOC111116412","GO:0030322","stabilization of membrane potential",11,1,0.05,0.0487,"Biological Processes",0.0909090909090909
"16","LOC111117505","GO:0030182","neuron differentiation",189,6,0.86,0.021,"Biological Processes",0.0317460317460317
"17","LOC111121327","GO:0030182","neuron differentiation",189,6,0.86,0.021,"Biological Processes",0.0317460317460317
"18","LOC111121590","GO:0038061","non-canonical NF-kappaB signal transduction",2,1,0.01,0.009,"Biological Processes",0.5
"19","LOC111122847","GO:0000338","protein deneddylation",4,1,0.02,0.018,"Biological Processes",0.25
"20","LOC111122847","GO:0010387","COP9 signalosome assembly",3,1,0.01,0.0135,"Biological Processes",0.333333333333333
"21","LOC111125856","GO:0035023","regulation of Rho protein signal transduction",6,1,0.03,0.0269,"Biological Processes",0.166666666666667
"22","LOC111127799","GO:0048488","synaptic vesicle endocytosis",18,2,0.08,0.003,"Biological Processes",0.111111111111111
"23","LOC111128396","GO:0051262","protein tetramerization",6,1,0.03,0.0269,"Biological Processes",0.166666666666667
"24","LOC111130064","GO:0001755","neural crest cell migration",4,1,0.02,0.018,"Biological Processes",0.25
"25","LOC111130064","GO:0030335","positive regulation of cell migration",9,1,0.04,0.0401,"Biological Processes",0.111111111111111
"26","LOC111130064","GO:0048843","negative regulation of axon extension involved in axon guidance",4,1,0.02,0.018,"Biological Processes",0.25
"27","LOC111130064","GO:0050919","negative chemotaxis",3,1,0.01,0.0135,"Biological Processes",0.333333333333333
"28","LOC111130064","GO:0071526","semaphorin-plexin signaling pathway",19,3,0.09,0.0175,"Biological Processes",0.157894736842105
"29","LOC111132966","GO:0000132","establishment of mitotic spindle orientation",5,1,0.02,0.0224,"Biological Processes",0.2
"30","LOC111132966","GO:0007097","nuclear migration",9,1,0.04,0.0401,"Biological Processes",0.111111111111111
