CHROM	BIN_START	BIN_END	EXP_HET	OBS_HET	TREATMENT
NC_035780.1	33127	33627	0.1133333333	0.14	CONCON
NC_035780.1	33627	34127	0.2761956522	0.3173913043	CONCON
NC_035780.1	34127	34627	0.3018103448	0.375862069	CONCON
NC_035780.1	34627	35127	0.2833783784	0.3513513514	CONCON
NC_035780.1	35127	35627	0.265923913	0.3282608696	CONCON
NC_035780.1	35627	36127	0.269375	0.3431818182	CONCON
NC_035780.1	36627	37127	0.071875	0.075	CONCON
NC_035780.1	37127	37627	0.265	0.3514285714	CONCON
NC_035780.1	37627	38127	0.2536111111	0.3	CONCON
NC_035780.1	38127	38627	0.2410795455	0.3068181818	CONCON
NC_035780.1	38627	39127	0.245	0.3384615385	CONCON
NC_035780.1	39127	39627	0.1525694444	0.225	CONCON
NC_035780.1	39627	40127	0.2121428571	0.3047619048	CONCON
NC_035780.1	40127	40627	0.19015625	0.246875	CONCON
NC_035780.1	40627	41127	0.1147916667	0.1583333333	CONCON
NC_035780.1	41127	41627	0.1763392857	0.2392857143	CONCON
NC_035780.1	41627	42127	0.1084583333	0.135	CONCON
NC_035780.1	42127	42627	0.12546875	0.1604166667	CONCON
NC_035780.1	42627	43127	0.1713942308	0.2288461538	CONCON
NC_035780.1	43127	43627	0.2545	0.3	CONCON
NC_035780.1	43627	44127	0.4154166667	0.6166666667	CONCON
NC_035780.1	44127	44627	0.109375	0.125	CONCON
NC_035780.1	44627	45127	0.1237867647	0.1397058824	CONCON
NC_035780.1	45127	45627	0.18796875	0.24375	CONCON
NC_035780.1	45627	46127	0.1525284091	0.1965909091	CONCON
NC_035780.1	46127	46627	0.1141517857	0.1446428571	CONCON
NC_035780.1	46627	47127	0.1355803571	0.1839285714	CONCON
NC_035780.1	47127	47627	0.2581547619	0.3738095238	CONCON
NC_035780.1	47627	48127	0.2958928571	0.4166666667	CONCON
NC_035780.1	48127	48627	0.239375	0.3	CONCON
NC_035780.1	48627	49127	0.2668888889	0.3933333333	CONCON
NC_035780.1	49127	49627	0.2085294118	0.2970588235	CONCON
NC_035780.1	49627	50127	0.2149776786	0.2866071429	CONCON
NC_035780.1	50127	50627	0.2713690476	0.3595238095	CONCON
NC_035780.1	50627	51127	0.2103240741	0.287037037	CONCON
NC_035780.1	51127	51627	0.2705681818	0.3560606061	CONCON
NC_035780.1	51627	52127	0.2855208333	0.3958333333	CONCON
NC_035780.1	52127	52627	0.2815972222	0.3694444444	CONCON
NC_035780.1	52627	53127	0.184047619	0.2285714286	CONCON
NC_035780.1	53127	53627	0.1250862069	0.1413793103	CONCON
NC_035780.1	62127	62627	0.1726515152	0.2121212121	CONCON
NC_035780.1	62627	63127	0.1124	0.132	CONCON
NC_035780.1	63127	63627	0.1548660714	0.1839285714	CONCON
NC_035780.1	63627	64127	0.2131578947	0.2736842105	CONCON
NC_035780.1	64127	64627	0.1929545455	0.2242424242	CONCON
NC_035780.1	64627	65127	0.2277205882	0.2676470588	CONCON
NC_035780.1	65127	65627	0.1464473684	0.1684210526	CONCON
NC_035780.1	65627	66127	0.147875	0.1675	CONCON
NC_035780.1	66127	66627	0.1864772727	0.2136363636	CONCON
NC_035780.1	66627	67127	0.2422368421	0.2526315789	CONCON
NC_035780.1	67127	67627	0.1644791667	0.1583333333	CONCON
NC_035780.1	70127	70627	0.1509539474	0.1644736842	CONCON
NC_035780.1	70627	71127	0.2088858696	0.2315217391	CONCON
NC_035780.1	71127	71627	0.1928537736	0.2066037736	CONCON
NC_035780.1	71627	72127	0.2125403226	0.2209677419	CONCON
NC_035780.1	72127	72627	0.2748076923	0.2846153846	CONCON
NC_035780.1	1806400	1806900	0.1879166667	0.2166666667	CONCON
NC_035780.1	1806900	1807400	0.195	0.2209302326	CONCON
NC_035780.1	1807400	1807900	0.1920098039	0.2254901961	CONCON
NC_035780.1	1807900	1808400	0.1161309524	0.130952381	CONCON
NC_035780.1	1808400	1808900	0.1043014706	0.1161764706	CONCON
NC_035780.1	1808900	1809400	0.1035576923	0.1243589744	CONCON
NC_035780.1	1809400	1809900	0.1989516129	0.2387096774	CONCON
NC_035780.1	1809900	1810400	0.192347561	0.2134146341	CONCON
NC_035780.1	1810400	1810900	0.1958418367	0.2234693878	CONCON
NC_035780.1	1810900	1811400	0.249075	0.289	CONCON
NC_035780.1	1811400	1811900	0.2337171053	0.2565789474	CONCON
NC_035780.1	1811900	1812400	0.2867763158	0.2815789474	CONCON
NC_035780.1	1812400	1812900	0.1244642857	0.1357142857	CONCON
NC_035780.1	1813400	1813900	0.2473295455	0.2659090909	CONCON
NC_035780.1	1813900	1814400	0.2689166667	0.2633333333	CONCON
NC_035780.1	1814400	1814900	0.2436057692	0.2788461538	CONCON
NC_035780.1	1814900	1815400	0.229325	0.237	CONCON
NC_035780.1	1815400	1815900	0.2198097826	0.2423913043	CONCON
NC_035780.1	1815900	1816400	0.2907589286	0.3285714286	CONCON
NC_035780.1	1816400	1816900	0.262202381	0.3119047619	CONCON
NC_035780.1	1816900	1817400	0.2015732759	0.2284482759	CONCON
NC_035780.1	1817400	1817900	0.2284198113	0.2462264151	CONCON
NC_035780.1	1817900	1818400	0.1880792683	0.193902439	CONCON
NC_035780.1	1818400	1818900	0.2171990741	0.2527777778	CONCON
NC_035780.1	1818900	1819400	0.2066810345	0.2327586207	CONCON
NC_035780.1	1819400	1819900	0.2037152778	0.2347222222	CONCON
NC_035780.1	1819900	1820400	0.2002205882	0.2441176471	CONCON
NC_035780.1	1820400	1820900	0.2422794118	0.2941176471	CONCON
